salary_id,employee_id,effective_date,end_date,currency,base_salary,bonus_pct,reason
139,87,2025-03-30,,INR,2121959,0.0636,ADJUSTMENT
140,88,2019-10-06,2023-09-15,INR,534102,0.047,MERIT
141,88,2023-09-16,,INR,383713,0.1545,HIRE
142,89,2019-03-26,2023-08-16,USD,2052737,0.0898,ADJUSTMENT
143,89,2023-08-17,2024-09-22,INR,1915820,0.1089,PROMOTION
144,89,2024-09-23,,USD,2072092,0.0006,PROMOTION
145,90,2025-08-07,,INR,340589,0.0497,HIRE
146,91,2024-12-06,2025-07-26,INR,839675,0.1016,HIRE
147,91,2025-07-27,,INR,894955,0.1551,MERIT
148,92,2020-03-25,2024-03-24,USD,2977218,0.1741,ADJUSTMENT
149,92,2024-03-25,,USD,2818497,0.0436,MERIT
150,93,2025-08-03,,INR,431591,0.1464,HIRE
151,94,2024-11-26,2025-01-20,INR,725229,0.0377,HIRE
152,94,2025-01-21,,USD,822265,0.045,PROMOTION
153,95,2023-05-14,,USD,393084,0.17,HIRE
154,96,2021-05-23,2023-04-16,USD,962022,0.1407,MERIT
155,96,2023-04-17,,USD,1204823,0.1262,ADJUSTMENT
156,97,2019-06-05,,USD,5434147,0.1575,HIRE
157,98,2019-10-31,2021-01-26,INR,4020482,0.1559,ADJUSTMENT
158,98,2021-01-27,2022-06-29,USD,3432049,0.0022,ADJUSTMENT
159,98,2022-06-30,,INR,3927536,0.0985,HIRE
160,99,2017-05-24,2018-02-06,USD,862364,0.0796,ADJUSTMENT
161,99,2018-02-07,2019-11-14,INR,618907,0.1732,HIRE
162,99,2019-11-15,,USD,635630,0.0222,PROMOTION
163,100,2025-05-06,2025-06-15,INR,4131350,0.009,HIRE
164,100,2025-06-16,,INR,3394804,0.0158,HIRE
165,101,2024-08-17,2025-01-07,INR,693953,0.0382,PROMOTION
166,101,2025-01-08,2025-02-27,USD,632695,0.1847,HIRE
167,101,2025-02-28,,USD,671376,0.018,ADJUSTMENT
168,102,2019-08-30,2021-02-03,USD,850624,0.0691,PROMOTION
169,102,2021-02-04,2021-04-13,USD,625767,0.1972,MERIT
170,102,2021-04-14,,INR,880081,0.0681,HIRE
171,103,2022-01-22,,INR,404682,0.0821,MERIT
172,104,2025-04-14,,USD,359942,0.1025,PROMOTION
173,105,2015-08-22,2020-12-21,INR,433936,0.0589,MERIT
174,105,2020-12-22,,USD,353807,0.1607,HIRE
175,106,2022-09-20,,INR,3737187,0.0462,PROMOTION
176,107,2024-03-03,,USD,483999,0.1688,ADJUSTMENT
177,108,2024-10-19,,INR,2057807,0.0416,HIRE
178,109,2022-05-29,,INR,382211,0.1713,ADJUSTMENT
179,110,2021-11-07,,USD,664821,0.1835,HIRE
180,111,2020-01-01,2022-08-20,INR,850040,0.0555,ADJUSTMENT
181,111,2022-08-21,,INR,779572,0.1202,PROMOTION
182,112,2021-04-13,2021-12-17,INR,1289830,0.0409,ADJUSTMENT
183,112,2021-12-18,,INR,924582,0.0598,HIRE
184,113,2020-10-26,2021-07-30,USD,6390861,0.1423,HIRE
185,113,2021-07-31,2024-02-11,INR,6117778,0.0725,HIRE
186,113,2024-02-12,,USD,6647059,0.0478,MERIT
187,114,2025-04-10,2025-06-03,USD,4817689,0.1165,MERIT
188,114,2025-06-04,,INR,6677964,0.0857,ADJUSTMENT
189,115,2018-04-17,2018-05-12,INR,2908285,0.1957,HIRE
190,115,2018-05-13,,INR,2710862,0.1488,MERIT
191,116,2024-06-03,,USD,351956,0.0478,HIRE
192,117,2019-05-23,2021-01-21,USD,334781,0.0988,HIRE
193,117,2021-01-22,,USD,435043,0.0245,ADJUSTMENT
194,118,2023-04-04,,INR,4737217,0.0281,MERIT
195,119,2025-04-09,,USD,2765000,0.0498,MERIT
196,120,2021-09-15,,USD,1597789,0.0864,ADJUSTMENT
197,121,2025-03-31,2025-04-16,INR,531426,0.1437,HIRE
198,121,2025-04-17,,USD,331059,0.1587,ADJUSTMENT
199,122,2025-06-19,,USD,765183,0.1064,MERIT
200,123,2024-10-15,,INR,3577292,0.0772,MERIT
201,124,2017-02-09,2022-04-08,INR,1700315,0.1196,HIRE
202,124,2022-04-09,,INR,1818547,0.1707,PROMOTION
203,125,2025-03-10,2025-04-06,USD,4341593,0.0283,MERIT
204,125,2025-04-07,,INR,4378078,0.1916,PROMOTION
205,126,2021-09-19,,INR,3788894,0.1741,MERIT
206,127,2025-05-05,,INR,647568,0.0503,PROMOTION
207,128,2019-05-11,,USD,4423817,0.1083,ADJUSTMENT
208,129,2023-05-29,,USD,1029082,0.0566,HIRE
209,130,2024-08-09,,INR,2473088,0.0156,PROMOTION
210,131,2020-03-28,,INR,1093355,0.0643,PROMOTION
211,132,2025-06-24,,INR,1905647,0.0536,PROMOTION
212,133,2024-12-19,2025-07-09,USD,1981494,0.0237,PROMOTION
213,133,2025-07-10,,USD,2135252,0.1507,ADJUSTMENT
214,134,2025-05-21,,USD,5735249,0.1434,HIRE
215,135,2020-05-03,2023-12-07,USD,1738813,0.0693,HIRE
216,135,2023-12-08,,INR,1964733,0.1878,MERIT
217,136,2023-06-26,,USD,5608859,0.025,PROMOTION
218,137,2025-05-22,2025-07-20,USD,455398,0.1169,MERIT
219,137,2025-07-21,,USD,335145,0.0344,MERIT
220,138,2023-07-25,,INR,518442,0.172,HIRE
221,139,2016-07-29,2024-04-09,INR,478190,0.1029,MERIT
222,139,2024-04-10,,INR,599453,0.1161,MERIT
223,140,2022-02-26,,INR,794022,0.1603,PROMOTION
224,141,2019-09-08,2022-03-27,USD,1145557,0.0164,HIRE
225,141,2022-03-28,,INR,1144948,0.1557,MERIT
226,142,2016-12-15,2019-08-12,USD,1469530,0.0031,MERIT
227,142,2019-08-13,,INR,1783354,0.1123,MERIT
228,143,2021-03-05,2024-05-09,INR,5332395,0.1225,PROMOTION
229,143,2024-05-10,,INR,4922095,0.158,MERIT
230,144,2024-09-10,,USD,614749,0.0009,ADJUSTMENT
231,145,2024-02-23,,INR,1016488,0.1544,HIRE
232,146,2023-02-12,,INR,4365103,0.1084,MERIT
233,147,2020-03-17,,USD,2057471,0.0323,HIRE
234,148,2022-12-07,2023-12-16,INR,6451819,0.0281,ADJUSTMENT
235,148,2023-12-17,,USD,6905872,0.0043,ADJUSTMENT
236,149,2024-05-20,2024-05-27,INR,630840,0.0884,PROMOTION
237,149,2024-05-28,2025-01-05,INR,670413,0.0591,ADJUSTMENT
238,149,2025-01-06,,INR,741369,0.1394,HIRE
239,150,2019-05-06,2020-10-15,USD,3857981,0.1042,MERIT
240,150,2020-10-16,,USD,4188095,0.1397,ADJUSTMENT
241,151,2025-01-03,2025-07-02,USD,1459526,0.0624,MERIT
242,151,2025-07-03,,USD,1938527,0.1846,PROMOTION
243,152,2019-05-22,2025-05-23,USD,5598292,0.1739,ADJUSTMENT
244,152,2025-05-24,,INR,4611167,0.197,HIRE
245,153,2024-09-02,2024-11-02,INR,1016090,0.0377,ADJUSTMENT
246,153,2024-11-03,,INR,1351367,0.1248,HIRE
247,154,2022-04-23,2023-07-18,INR,3545418,0.1915,HIRE
248,154,2023-07-19,,USD,3616694,0.1925,ADJUSTMENT
249,155,2021-03-31,,USD,1933366,0.1084,HIRE
250,156,2018-12-04,,USD,1051949,0.1717,HIRE
251,157,2025-07-02,,USD,483545,0.1195,HIRE
252,158,2025-04-08,2025-05-25,USD,697572,0.1161,HIRE
253,158,2025-05-26,,USD,661586,0.0788,ADJUSTMENT
254,159,2018-11-13,,USD,3489937,0.0436,ADJUSTMENT
255,160,2021-02-04,2021-04-15,INR,2112466,0.1652,HIRE
256,160,2021-04-16,2021-11-17,USD,1598413,0.0329,PROMOTION
257,160,2021-11-18,,USD,1588162,0.0769,PROMOTION
258,161,2023-01-04,2024-05-31,USD,624087,0.1028,HIRE
259,161,2024-06-01,2025-03-04,USD,750175,0.1328,PROMOTION
260,161,2025-03-05,,INR,897254,0.1196,PROMOTION
261,162,2022-01-21,,USD,3952842,0.1806,HIRE
262,163,2025-07-30,2025-08-01,USD,5834595,0.1189,HIRE
263,163,2025-08-02,2025-08-05,USD,6042545,0.0099,HIRE
264,163,2025-08-06,,INR,4583648,0.0011,PROMOTION
265,164,2022-03-22,,INR,1882302,0.1403,MERIT
266,165,2018-10-08,2019-08-29,USD,1871282,0.1517,ADJUSTMENT
267,165,2019-08-30,2021-06-02,USD,1630450,0.1525,MERIT
268,165,2021-06-03,,INR,1757564,0.0006,HIRE
269,166,2020-07-25,2023-02-27,INR,2715892,0.012,ADJUSTMENT
270,166,2023-02-28,,INR,2257386,0.0209,ADJUSTMENT
271,167,2021-04-15,,USD,2805309,0.1659,HIRE
272,168,2019-11-09,2021-10-11,USD,2489303,0.0543,PROMOTION
273,168,2021-10-12,,INR,2793949,0.017,PROMOTION
274,169,2021-07-24,2021-12-24,USD,5140213,0.1129,MERIT
275,169,2021-12-25,2024-07-01,USD,6796660,0.1911,HIRE
276,169,2024-07-02,,INR,6422404,0.0821,HIRE
277,170,2024-04-14,,INR,1540669,0.0162,ADJUSTMENT
278,171,2024-07-18,,INR,1145264,0.1553,HIRE
279,172,2025-07-29,,INR,1599664,0.1437,PROMOTION
280,173,2024-08-16,,INR,1467887,0.1481,HIRE
281,174,2025-05-09,,USD,5546560,0.1765,HIRE
282,175,2025-05-19,2025-06-08,USD,5277645,0.0527,ADJUSTMENT
283,175,2025-06-09,,USD,6457974,0.1593,HIRE
284,176,2025-05-04,,INR,1302237,0.069,ADJUSTMENT
285,177,2021-11-18,2022-10-30,INR,701582,0.0597,PROMOTION
286,177,2022-10-31,2023-08-07,USD,839227,0.0881,PROMOTION
287,177,2023-08-08,,INR,778525,0.0128,HIRE
288,178,2021-10-15,2024-04-22,USD,2228051,0.1757,HIRE
289,178,2024-04-23,2025-01-12,USD,2503520,0.129,PROMOTION
290,178,2025-01-13,,USD,2369962,0.1487,PROMOTION
291,179,2023-01-17,,USD,3654173,0.1103,ADJUSTMENT
292,180,2025-07-04,2025-07-31,INR,2994156,0.1952,HIRE
293,180,2025-08-01,,USD,3100678,0.0781,ADJUSTMENT
294,181,2023-12-11,,USD,6110660,0.0363,MERIT
295,182,2021-12-24,,USD,476767,0.0988,ADJUSTMENT
296,183,2025-07-02,2025-07-28,INR,2198373,0.0555,HIRE
297,183,2025-07-29,2025-08-18,USD,1750129,0.0468,MERIT
298,183,2025-08-19,,USD,1434096,0.1595,ADJUSTMENT
299,184,2018-01-25,2025-02-01,INR,2768820,0.1984,ADJUSTMENT
300,184,2025-02-02,,INR,2964017,0.0837,MERIT
301,185,2025-05-09,,INR,1079062,0.1807,HIRE
302,186,2022-12-04,,INR,1329580,0.0687,HIRE
303,187,2023-06-14,2023-10-10,USD,1478870,0.0671,PROMOTION
304,187,2023-10-11,,INR,2060060,0.1841,HIRE
305,188,2023-08-14,,INR,5034581,0.1292,MERIT
306,189,2023-01-04,2023-01-12,INR,697288,0.1835,MERIT
307,189,2023-01-13,,INR,682623,0.1995,ADJUSTMENT
308,190,2023-08-12,,INR,1290424,0.0188,PROMOTION
309,191,2019-10-19,,INR,2540121,0.059,MERIT
310,192,2025-03-09,,INR,6877307,0.1877,ADJUSTMENT
311,193,2024-04-12,,INR,4209643,0.0517,MERIT
312,194,2022-11-05,,INR,1488605,0.03,ADJUSTMENT
313,195,2024-03-18,,USD,6379182,0.0756,MERIT
314,196,2016-03-30,2019-01-01,INR,3194746,0.0322,ADJUSTMENT
315,196,2019-01-02,,INR,2666351,0.0191,MERIT
316,197,2023-06-18,2024-07-11,USD,3541714,0.1625,HIRE
317,197,2024-07-12,2024-07-14,INR,4432297,0.1507,HIRE
318,197,2024-07-15,,INR,3334995,0.1092,MERIT
319,198,2024-05-22,,INR,740748,0.1427,PROMOTION
320,199,2021-12-09,,USD,1341389,0.1791,ADJUSTMENT
321,200,2025-06-03,2025-07-09,INR,2610976,0.1667,HIRE
322,200,2025-07-10,2025-07-16,USD,2322841,0.0273,MERIT
323,200,2025-07-17,,USD,3175173,0.138,ADJUSTMENT
324,201,2024-02-12,2025-03-13,USD,402235,0.0689,MERIT
325,201,2025-03-14,,INR,598332,0.0095,MERIT
326,202,2024-02-28,,INR,369291,0.1919,HIRE
327,203,2023-04-14,,USD,368397,0.0434,MERIT
328,204,2025-01-17,2025-05-02,USD,488064,0.032,HIRE
329,204,2025-05-03,,INR,320613,0.0267,MERIT
330,205,2022-10-09,,INR,2925435,0.0843,ADJUSTMENT
331,206,2023-05-11,,INR,4618667,0.1902,HIRE
332,207,2021-06-30,2024-12-09,INR,1460128,0.0156,HIRE
333,207,2024-12-10,,INR,2164600,0.1532,ADJUSTMENT
334,208,2024-01-01,,INR,4042789,0.0094,PROMOTION
335,209,2025-03-09,2025-04-03,USD,944473,0.04,PROMOTION
336,209,2025-04-04,,INR,1136088,0.1266,MERIT
337,210,2025-08-08,,INR,847806,0.1812,HIRE
338,211,2019-04-10,,INR,692250,0.1058,HIRE
339,212,2023-04-27,,USD,707069,0.0946,ADJUSTMENT
340,213,2020-03-18,,USD,1381299,0.191,HIRE
341,214,2019-04-19,,INR,349857,0.1312,PROMOTION
342,215,2024-07-01,,USD,2653577,0.1164,HIRE
343,216,2019-09-15,2022-11-14,USD,1239520,0.0931,HIRE
344,216,2022-11-15,2025-08-06,INR,972499,0.0427,PROMOTION
345,216,2025-08-07,,USD,1217177,0.1597,PROMOTION
346,217,2025-07-11,,USD,3882834,0.157,ADJUSTMENT
347,218,2025-03-03,2025-05-27,USD,2501213,0.0657,PROMOTION
348,218,2025-05-28,,INR,2318053,0.0736,MERIT
349,219,2021-01-10,2025-03-21,USD,2332507,0.1436,ADJUSTMENT
350,219,2025-03-22,,INR,2419417,0.1579,HIRE
351,220,2022-07-16,,INR,732202,0.1572,ADJUSTMENT
352,221,2023-05-26,,INR,2933359,0.0703,PROMOTION
353,222,2024-10-03,,USD,817318,0.1557,MERIT
354,223,2020-11-09,,USD,6484931,0.0883,MERIT
355,224,2023-05-18,,INR,5102992,0.1223,MERIT
356,225,2024-09-22,,INR,315260,0.0958,MERIT
357,226,2023-08-06,2024-01-12,INR,1813597,0.1368,HIRE
358,226,2024-01-13,,INR,2106682,0.1447,HIRE
359,227,2025-06-17,,USD,759666,0.1879,PROMOTION
360,228,2017-05-18,,USD,2709434,0.0691,HIRE
361,229,2020-11-02,,USD,890755,0.0667,ADJUSTMENT
362,230,2024-09-23,,USD,877790,0.135,MERIT
363,231,2024-08-05,,INR,1379188,0.061,PROMOTION
364,232,2022-06-08,,INR,6273652,0.1718,ADJUSTMENT
365,233,2020-12-13,,INR,1048026,0.077,MERIT
366,234,2024-01-29,,USD,1062163,0.0667,HIRE
367,235,2024-06-16,,INR,969896,0.1815,PROMOTION
368,236,2021-08-25,2022-09-18,INR,891570,0.1919,MERIT
369,236,2022-09-19,,INR,766102,0.1041,MERIT
370,237,2025-05-10,,INR,1226861,0.0371,HIRE
371,238,2024-07-08,,INR,842823,0.0853,ADJUSTMENT
372,239,2024-09-26,,USD,1335396,0.0403,MERIT
373,240,2023-02-03,2023-08-11,USD,5223806,0.1367,HIRE
374,240,2023-08-12,,INR,5995841,0.1977,ADJUSTMENT
375,241,2021-08-15,,USD,1864269,0.0819,PROMOTION
376,242,2022-12-08,2025-01-14,INR,1984578,0.0282,MERIT
377,242,2025-01-15,,USD,1665932,0.0378,HIRE
378,243,2022-09-28,,USD,6211427,0.0397,PROMOTION
379,244,2019-09-10,,USD,930767,0.0951,PROMOTION
380,245,2021-08-10,2022-09-29,INR,4018785,0.0536,MERIT
381,245,2022-09-30,2022-10-11,INR,3355377,0.1239,PROMOTION
382,245,2022-10-12,,USD,4438224,0.1509,ADJUSTMENT
383,246,2025-03-11,,USD,1087489,0.1961,MERIT
384,247,2024-03-15,,USD,4342994,0.0704,HIRE
385,248,2025-06-01,,USD,6496145,0.0027,MERIT
386,249,2023-08-25,2024-07-07,INR,644638,0.1121,PROMOTION
387,249,2024-07-08,,INR,888255,0.116,ADJUSTMENT
388,250,2023-04-03,2025-05-04,INR,309342,0.1265,PROMOTION
389,250,2025-05-05,2025-06-08,INR,459070,0.057,PROMOTION
390,250,2025-06-09,,INR,309596,0.0349,MERIT
391,251,2024-02-15,2024-10-21,USD,3068134,0.1531,ADJUSTMENT
392,251,2024-10-22,,INR,2852608,0.0036,MERIT
393,252,2022-07-13,,INR,1348048,0.009,PROMOTION
394,253,2025-07-15,,USD,541170,0.0009,ADJUSTMENT
395,254,2025-01-28,2025-06-21,USD,442105,0.1122,HIRE
396,254,2025-06-22,,INR,579313,0.1016,HIRE
397,255,2019-12-08,2022-10-10,USD,1536526,0.1648,ADJUSTMENT
398,255,2022-10-11,2024-10-21,USD,1906386,0.0617,PROMOTION
399,255,2024-10-22,,USD,2174265,0.0521,ADJUSTMENT
400,256,2025-01-18,,USD,3047102,0.0155,ADJUSTMENT
401,257,2025-03-20,2025-07-27,INR,2791534,0.187,MERIT
402,257,2025-07-28,,USD,2831885,0.1165,HIRE
403,258,2025-04-28,,USD,2874299,0.0616,ADJUSTMENT
404,259,2020-12-23,2024-11-01,INR,303440,0.1246,PROMOTION
405,259,2024-11-02,,USD,532341,0.1193,PROMOTION
406,260,2024-09-08,,INR,6417912,0.178,PROMOTION
407,261,2022-10-10,,USD,1310707,0.0913,HIRE
408,262,2024-05-10,,USD,683977,0.0816,ADJUSTMENT
409,263,2024-11-14,2025-02-10,USD,3027315,0.0412,ADJUSTMENT
410,263,2025-02-11,,INR,2577911,0.0473,HIRE
411,264,2025-04-04,2025-07-27,INR,6893434,0.161,PROMOTION
412,264,2025-07-28,,USD,6976431,0.0277,HIRE
413,265,2018-11-20,2024-03-14,USD,1792552,0.0328,ADJUSTMENT
414,265,2024-03-15,2025-04-14,INR,1618304,0.1479,MERIT
415,265,2025-04-15,,USD,1470243,0.0245,HIRE
416,266,2024-12-22,,INR,1246813,0.157,HIRE
417,267,2023-08-04,,INR,3316668,0.0258,HIRE
418,268,2023-10-23,2024-06-30,USD,2900268,0.0186,PROMOTION
419,268,2024-07-01,,USD,2768663,0.0193,PROMOTION
420,269,2016-08-09,2018-11-08,INR,1269464,0.0346,PROMOTION
421,269,2018-11-09,2024-02-27,INR,1031324,0.1559,HIRE
422,269,2024-02-28,,INR,1274713,0.0086,MERIT
423,270,2024-08-10,,USD,3783198,0.1465,ADJUSTMENT
424,271,2022-07-01,2023-11-29,USD,4946159,0.0619,ADJUSTMENT
425,271,2023-11-30,,INR,6868318,0.0772,HIRE
426,272,2022-06-01,2025-07-22,USD,421707,0.1213,MERIT
427,272,2025-07-23,,INR,445137,0.1398,ADJUSTMENT
428,273,2024-04-11,,INR,516050,0.1046,ADJUSTMENT
429,274,2023-05-11,2023-10-10,INR,1004043,0.1948,PROMOTION
