employee_id,project_id,assigned_date,allocation_pct
223,167,2022-08-10,30
224,561,2025-01-09,25
225,900,2025-05-17,45
227,680,2024-09-05,40
228,646,2025-03-29,80
228,862,2016-11-17,65
229,440,2020-08-15,50
230,38,2021-07-28,85
231,299,2023-06-02,25
234,284,2024-06-08,45
234,211,2023-01-28,10
235,723,2022-01-16,80
237,984,2021-04-24,100
239,29,2022-02-11,65
240,59,2021-08-03,60
240,747,2023-10-09,60
242,563,2025-08-23,60
243,256,2024-05-08,90
243,71,2023-05-19,75
244,565,2017-08-28,45
245,367,2021-09-02,85
246,139,2019-06-24,75
246,683,2023-09-09,90
247,516,2018-09-26,65
247,372,2024-02-25,35
247,788,2023-03-20,60
248,165,2024-08-03,55
248,353,2024-10-26,95
249,807,2025-03-09,20
250,216,2023-05-01,95
252,763,2022-03-23,50
252,76,2024-01-06,90
253,12,2020-06-12,40
254,978,2024-12-06,60
255,838,2020-12-24,70
257,406,2025-06-18,15
258,575,2021-06-02,95
263,470,2024-10-05,55
263,283,2025-04-02,15
264,220,2025-08-16,35
264,96,2025-06-19,15
264,429,2025-04-16,90
265,555,2023-10-23,15
266,833,2023-12-08,5
266,601,2024-05-06,25
267,615,2025-07-24,55
268,856,2024-01-07,80
268,836,2023-10-26,95
268,268,2025-01-07,90
269,472,2019-09-27,90
270,62,2025-02-21,30
270,679,2023-05-22,50
273,611,2023-08-30,100
274,830,2023-06-24,60
275,683,2021-02-13,65
276,778,2019-12-07,25
276,487,2016-02-26,45
277,25,2016-01-07,100
278,298,2021-01-07,45
279,949,2020-12-31,60
280,374,2023-08-24,60
281,631,2017-03-03,80
281,506,2016-11-10,90
282,141,2025-06-09,20
282,234,2018-10-21,5
284,128,2022-11-01,25
285,675,2025-05-19,80
286,173,2022-03-09,85
286,129,2021-10-03,45
289,134,2019-05-24,45
290,627,2023-05-05,10
291,392,2025-05-08,20
291,681,2025-07-26,15
292,796,2023-12-27,50
292,572,2023-06-09,80
292,607,2025-06-01,90
293,335,2025-07-28,35
294,400,2019-07-29,70
295,548,2024-09-29,100
296,873,2024-12-27,100
297,762,2024-04-09,20
297,438,2023-01-18,5
298,22,2023-04-10,45
299,769,2025-07-21,50
300,147,2024-06-13,15
301,783,2025-07-03,55
301,128,2022-05-16,5
302,580,2024-05-31,35
302,49,2024-01-25,75
303,759,2018-01-27,45
303,363,2023-11-30,100
303,937,2018-12-31,70
304,152,2023-08-21,10
306,631,2025-08-21,75
307,244,2024-10-03,70
308,569,2025-06-16,100
309,312,2022-06-16,30
309,710,2021-10-15,50
310,53,2018-01-20,75
310,927,2024-06-22,95
313,307,2019-02-22,50
313,477,2019-04-16,85
316,680,2021-05-01,40
316,521,2024-06-07,30
317,413,2025-02-06,45
317,444,2021-12-18,30
319,189,2025-04-18,50
319,635,2020-03-10,55
319,805,2016-08-23,80
320,571,2025-03-01,5
320,269,2021-04-02,100
321,622,2016-11-14,80
322,83,2023-07-06,50
322,779,2024-01-01,10
322,131,2023-02-14,30
323,754,2023-01-13,65
323,880,2025-07-07,65
323,218,2025-07-16,85
324,170,2025-03-18,40
325,111,2018-11-19,75
326,550,2021-12-31,35
328,535,2025-04-04,45
330,775,2022-12-20,100
330,107,2025-06-27,85
330,235,2023-05-24,95
333,437,2025-07-26,35
333,299,2025-03-24,40
334,706,2024-07-19,15
335,290,2023-07-23,50
337,379,2025-08-01,55
338,305,2018-06-08,25
338,810,2021-09-28,50
338,390,2023-07-06,60
339,519,2023-06-06,90
341,730,2023-03-15,35
342,342,2024-02-25,65
342,957,2024-10-13,25
343,628,2024-07-20,50
343,106,2024-04-08,35
344,267,2025-06-10,5
345,725,2024-01-23,75
346,710,2025-01-03,100
346,37,2023-08-08,85
348,302,2025-05-28,15
348,838,2025-07-26,95
349,182,2024-07-28,90
350,736,2019-03-18,95
352,751,2025-03-02,50
352,913,2022-12-01,35
353,930,2024-12-02,25
353,394,2025-02-04,75
355,298,2025-06-10,5
356,593,2024-03-26,25
358,769,2022-07-31,70
359,109,2022-10-31,25
359,807,2022-07-29,45
360,112,2023-03-14,85
360,981,2024-04-05,40
362,145,2024-06-04,65
363,827,2020-06-10,85
364,543,2023-06-10,75
365,291,2024-07-12,50
366,434,2021-03-10,100
367,364,2022-06-09,10
367,585,2021-10-01,70
367,765,2024-12-02,100
368,751,2022-03-18,90
369,742,2023-01-10,20
369,806,2019-03-16,85
371,543,2018-10-20,35
371,300,2019-09-28,70
371,286,2021-06-07,55
372,37,2022-09-12,40
372,524,2020-09-03,20
372,113,2019-12-17,10
373,404,2023-05-29,55
373,454,2022-11-15,75
374,231,2022-12-05,15
374,649,2022-11-08,70
374,586,2023-12-31,20
375,868,2023-09-13,25
375,353,2020-01-17,85
376,706,2024-09-12,5
378,161,2021-03-13,45
379,588,2023-12-06,75
380,554,2025-05-25,65
381,3,2017-01-05,85
382,44,2025-06-23,60
385,371,2020-12-12,30
385,373,2025-04-06,30
385,209,2022-04-21,5
386,466,2025-04-26,15
388,326,2023-09-12,80
388,744,2020-07-26,60
390,786,2025-08-14,45
392,911,2018-08-25,65
392,530,2021-11-28,65
395,597,2024-11-14,25
396,69,2017-05-04,45
396,339,2017-10-29,25
397,348,2020-03-20,70
398,558,2025-08-20,95
398,291,2024-01-30,30
399,731,2017-06-19,50
400,382,2021-10-24,30
401,272,2018-04-27,25
402,794,2025-01-13,20
403,515,2022-02-04,30
404,264,2023-10-27,100
404,11,2022-12-28,85
406,761,2021-11-07,95
408,530,2025-02-06,25
408,866,2025-01-01,20
409,416,2025-04-19,80
411,676,2018-12-27,75
413,742,2022-02-07,50
414,58,2023-08-05,30
415,71,2023-03-31,15
417,695,2024-07-11,55
418,604,2024-12-17,85
419,731,2019-12-14,5
420,393,2020-02-29,25
420,587,2018-05-18,15
421,81,2023-05-05,45
424,502,2024-08-15,15
424,27,2021-08-02,35
424,544,2025-07-13,70
426,302,2021-04-09,75
426,370,2023-11-11,15
428,882,2025-02-22,85
429,533,2017-10-04,5
430,718,2019-08-22,95
431,640,2021-12-24,50
431,199,2025-05-09,80
432,896,2023-11-21,35
432,191,2024-02-06,55
434,242,2024-01-14,15
434,533,2017-08-30,40
436,334,2025-04-23,50
436,420,2024-04-20,35
437,284,2024-01-18,80
438,706,2019-04-10,65
438,439,2024-07-13,15
438,296,2020-01-12,95
440,1,2025-03-10,55
441,479,2025-03-05,55
441,750,2023-11-07,55
441,495,2020-11-20,60
443,644,2024-03-15,15
444,159,2018-11-09,90
446,196,2023-05-16,80
449,140,2023-06-09,30
450,783,2022-02-18,80
452,841,2021-09-18,5
454,656,2022-02-05,80
454,900,2024-03-08,15
454,483,2023-08-20,5
455,630,2022-12-16,70
455,381,2024-10-09,5
455,768,2022-02-17,85
456,601,2025-04-01,80
456,498,2025-05-27,65
457,792,2019-03-08,55
458,930,2023-11-04,55
459,654,2022-06-01,25
460,348,2024-01-27,35
461,727,2023-10-23,35
462,304,2024-07-11,45
462,208,2023-07-05,75
464,394,2025-07-31,10
464,874,2025-05-03,95
464,195,2025-06-13,45
465,514,2019-04-03,50
465,203,2018-10-30,35
466,458,2016-04-05,90
466,587,2018-11-05,20
468,607,2022-05-26,95
470,392,2020-08-13,75
470,777,2022-10-26,10
472,700,2021-08-18,5
472,312,2023-04-21,65
473,242,2018-11-18,80
473,521,2022-03-14,90
473,920,2018-11-10,80
474,816,2025-07-25,15
474,212,2025-02-10,60
475,80,2024-03-26,95
475,514,2019-07-16,70
476,492,2023-12-13,100
477,90,2025-03-16,25
478,364,2022-08-06,30
478,926,2024-06-27,25
479,601,2021-11-21,40
480,66,2017-09-08,65
482,867,2025-02-10,50
483,894,2024-12-24,55
484,810,2023-12-08,85
488,618,2020-04-05,75
488,576,2020-09-11,45
488,918,2024-07-12,90
489,926,2025-03-02,70
489,674,2024-05-01,70
489,315,2024-06-22,30
492,479,2024-01-01,5
493,482,2020-10-03,30
496,264,2024-07-23,70
496,862,2022-07-30,95
496,892,2023-03-30,5
497,635,2025-08-19,55
497,928,2024-09-26,60
497,487,2025-02-28,30
499,763,2025-02-04,85
499,941,2024-11-26,20
500,323,2018-01-24,80
500,624,2025-08-07,20
500,4,2018-01-31,100
501,165,2024-10-07,45
505,55,2023-06-10,35
506,712,2025-08-21,25
507,522,2018-08-28,10
509,490,2020-12-14,80
511,556,2023-06-03,20
512,911,2021-12-07,75
514,626,2020-08-25,25
514,644,2022-01-08,70
514,101,2025-07-10,65
515,520,2024-01-17,95
515,84,2020-12-31,85
516,325,2021-02-16,60
517,922,2025-01-25,75
518,787,2024-01-15,40
518,156,2023-01-07,50
520,993,2023-10-09,75
520,142,2025-03-17,45
521,538,2022-04-15,75
524,100,2020-11-30,15
525,104,2020-12-07,60
527,55,2021-11-14,55
527,389,2020-05-18,85
528,925,2023-05-24,90
529,738,2025-06-13,70
530,636,2020-09-22,40
531,330,2021-09-16,80
533,960,2024-04-24,40
536,428,2024-01-17,70
538,770,2023-07-03,70
539,771,2023-06-04,5
539,182,2022-06-15,65
539,631,2025-07-05,35
541,634,2021-08-06,70
549,948,2025-05-30,65
549,843,2025-02-16,15
550,362,2025-01-16,25
550,135,2025-06-11,20
550,455,2025-02-22,15
553,259,2025-07-30,35
554,333,2021-08-17,10
554,806,2024-11-07,70
554,156,2018-10-29,45
555,741,2025-06-26,40
555,252,2023-01-24,60
560,830,2019-11-28,100
560,924,2025-02-28,65
561,692,2023-04-17,30
561,94,2018-01-01,40
561,310,2019-11-12,65
562,113,2023-08-21,95
562,825,2023-05-11,85
563,671,2024-07-26,40
564,16,2025-05-26,40
565,748,2023-08-07,85
568,954,2021-02-07,5
568,181,2016-11-14,55
569,862,2024-11-05,80
569,220,2024-07-16,80
569,718,2025-04-17,55
572,345,2017-12-23,55
574,701,2025-07-19,85
576,996,2016-10-30,75
576,543,2024-11-06,35
577,275,2024-03-16,70
578,491,2025-07-01,60
579,890,2025-05-16,20
580,989,2023-08-28,80
581,695,2023-07-07,55
584,948,2022-03-11,100
585,358,2024-05-12,100
585,61,2025-05-28,20
587,459,2025-08-18,70
587,913,2025-08-15,85
588,351,2022-12-10,30
588,851,2023-12-10,75
589,139,2019-12-15,45
589,727,2021-07-19,50
589,192,2025-01-25,35
590,886,2020-05-07,80
591,650,2022-01-31,65
592,182,2025-01-03,75
592,364,2024-07-30,25
593,638,2020-05-13,25
594,578,2024-11-28,90
595,319,2022-10-25,30
596,283,2022-04-20,20
597,965,2022-04-09,50
599,763,2020-09-30,20
600,460,2019-08-21,5
602,399,2025-02-22,70
603,355,2023-02-28,85
604,316,2020-12-25,20
604,65,2024-07-26,80
607,897,2019-04-20,70
607,135,2022-03-16,55
609,416,2023-04-22,45
610,351,2025-07-09,15
611,802,2023-07-13,100
612,408,2021-08-29,100
612,856,2019-06-26,75
612,576,2017-03-01,60
613,162,2021-03-11,50
614,463,2024-07-17,60
615,776,2023-12-25,85
617,857,2025-06-25,95
617,328,2016-08-05,65
617,477,2023-07-28,30
618,586,2024-01-07,55
619,854,2025-02-03,15
620,782,2016-02-23,85
620,263,2022-11-05,65
620,212,2025-01-21,40
621,499,2021-07-13,25
622,503,2022-12-15,30
623,106,2024-11-10,90
624,896,2021-12-31,75
624,704,2025-03-05,70
624,423,2021-12-15,95
626,338,2024-08-02,90
626,916,2023-12-19,15
626,886,2019-10-23,80
627,327,2022-08-04,80
627,835,2022-08-19,50
627,472,2022-03-22,75
628,209,2019-05-18,10
630,931,2018-11-24,10
630,13,2017-03-28,80
631,428,2017-08-08,40
631,225,2017-06-26,20
633,818,2023-10-12,80
633,427,2020-05-29,15
633,469,2021-10-28,40
634,136,2023-10-30,25
634,934,2025-02-09,75
634,60,2022-10-07,40
635,908,2024-03-18,65
636,240,2024-09-17,25
636,156,2023-01-17,60
636,409,2023-08-01,60
637,131,2023-07-16,55
639,880,2024-01-16,25
639,668,2024-06-25,10
640,94,2024-01-18,95
641,109,2023-11-18,70
641,395,2023-04-06,20
642,887,2019-09-30,90
643,381,2021-04-20,30
644,39,2025-06-29,25
645,516,2024-01-31,45
645,623,2023-08-18,45
647,992,2022-06-25,100
647,110,2024-01-09,45
648,778,2024-03-03,95
649,236,2022-05-16,40
650,582,2024-10-22,25
651,865,2021-11-23,70
653,501,2015-12-20,80
654,113,2023-11-12,65
657,388,2021-01-21,60
657,104,2021-01-25,55
657,567,2025-07-04,50
658,562,2024-08-15,15
660,921,2021-01-29,35
660,529,2018-06-03,5
660,372,2018-11-12,95
661,412,2023-07-24,75
662,836,2025-06-17,10
662,29,2020-11-19,85
663,377,2022-06-16,15
664,588,2017-11-11,15
665,724,2021-08-31,100
666,994,2020-04-18,35
666,537,2020-02-26,90
667,913,2017-02-28,60
668,757,2022-01-25,60
671,310,2025-08-18,10
673,540,2022-02-12,20
673,825,2018-03-26,10
674,728,2023-03-08,5
675,314,2025-08-23,80
675,206,2025-08-23,65
676,847,2021-11-08,90
676,627,2021-10-30,30
676,895,2022-10-05,30
677,468,2020-02-22,80
678,868,2025-08-23,40
679,228,2025-01-08,15
679,404,2023-08-30,80
679,454,2024-12-20,20
680,743,2023-01-06,70
681,707,2023-09-30,60
682,811,2025-07-03,85
682,483,2025-02-19,20
682,109,2025-03-31,25
684,863,2025-06-14,40
685,562,2022-10-21,55
686,605,2023-02-19,15
687,578,2021-09-30,30
687,49,2024-08-12,100
689,484,2022-05-29,85
689,984,2024-05-07,55
691,90,2022-06-28,65
693,166,2024-08-07,80
693,80,2025-06-16,65
694,208,2021-06-04,80
694,910,2024-09-03,35
694,103,2023-04-13,55
695,432,2019-06-30,65
696,263,2025-03-05,95
697,273,2021-04-01,10
698,211,2024-09-26,75
698,250,2023-02-18,30
699,717,2019-05-03,80
700,64,2025-08-16,40
701,194,2020-07-11,15
702,506,2019-05-13,95
703,120,2025-06-17,10
705,978,2025-06-17,95
706,24,2019-12-08,80
711,435,2023-11-21,25
712,13,2025-04-23,90
714,706,2025-08-19,95
715,568,2022-08-22,70
715,376,2024-12-17,75
715,111,2024-09-10,65
716,500,2024-10-07,95
717,114,2021-09-24,45
718,574,2024-12-20,90
718,351,2022-11-26,75
719,649,2020-09-28,35
719,227,2023-07-02,75
720,718,2023-11-27,40
721,705,2024-09-12,90
721,416,2025-08-14,65
723,749,2025-05-04,45
723,925,2024-05-21,20
724,22,2022-04-26,5
724,399,2019-07-24,60
725,173,2023-05-12,100
725,694,2023-08-01,75
726,484,2022-01-29,70
726,294,2021-11-26,85
727,862,2024-01-30,5
727,601,2021-04-18,35
727,578,2022-12-21,70
729,565,2025-07-04,100
729,223,2025-06-20,30
731,722,2024-12-07,75
732,96,2024-05-15,60
732,458,2023-03-11,40
732,860,2024-02-13,55
733,85,2024-04-26,75
735,387,2023-10-24,20
736,289,2024-04-22,65
738,64,2023-04-16,20
738,349,2022-03-06,100
739,682,2025-05-31,10
740,227,2024-01-06,60
741,948,2024-07-25,10
741,227,2024-06-14,40
742,635,2023-04-09,15
745,258,2018-01-24,80
745,204,2022-06-21,90
746,735,2021-10-09,25
746,780,2020-05-04,30
747,580,2025-05-19,20
747,69,2024-10-12,90
748,814,2016-05-20,5
749,837,2020-04-06,10
749,369,2023-03-18,45
750,763,2025-04-21,45
750,293,2025-07-09,20
751,746,2024-08-24,45
753,408,2024-07-29,95
753,974,2024-11-07,40
753,221,2017-05-12,60
755,896,2023-04-23,70
755,6,2020-02-12,65
755,631,2021-09-29,65
756,557,2017-05-29,25
757,711,2024-12-30,30
757,297,2023-02-09,30
758,531,2024-09-21,75
758,546,2024-06-27,95
758,849,2022-11-20,95
759,529,2021-12-06,85
759,59,2019-09-22,15
761,964,2023-01-24,5
761,337,2025-01-04,20
761,77,2021-06-25,95
762,68,2022-02-19,50
763,199,2024-09-27,90
765,481,2022-05-10,10
766,669,2023-12-19,95
766,32,2024-09-20,45
767,335,2021-01-24,25
767,507,2020-04-19,100
768,631,2019-04-21,90
769,688,2020-11-04,20
769,11,2019-08-15,30
769,989,2022-05-07,15
770,531,2019-07-05,40
771,103,2024-02-15,90
773,531,2025-06-20,30
774,494,2021-04-19,15
774,958,2025-04-29,75
775,520,2022-03-07,55
776,944,2024-12-20,40
776,474,2024-10-18,5
777,787,2025-05-06,90
779,617,2025-03-28,35
779,228,2024-05-16,10
781,741,2025-08-16,60
781,239,2022-04-20,50
782,338,2023-03-23,70
783,855,2025-02-16,10
783,379,2025-03-09,55
783,164,2025-06-23,40
784,383,2022-10-31,45
785,519,2016-08-20,50
786,589,2019-05-13,90
787,595,2022-03-18,10
788,626,2025-08-02,60
789,366,2025-08-23,15
791,906,2024-09-17,95
791,513,2025-01-07,25
792,41,2018-10-08,60
792,843,2019-10-21,30
795,508,2023-07-14,10
797,86,2022-07-15,45
798,122,2020-09-10,15
799,282,2025-06-22,10
801,128,2020-04-30,25
802,1000,2024-04-25,15
805,917,2020-05-15,25
806,934,2024-08-14,90
808,20,2024-02-24,50
808,882,2023-07-04,60
809,272,2025-07-20,30
811,952,2025-04-30,45
812,875,2018-03-27,35
812,262,2022-08-08,50
812,89,2023-02-15,50
814,411,2025-07-07,90
815,146,2020-03-07,90
815,539,2022-05-18,35
816,363,2025-05-08,60
816,580,2024-07-08,10
816,599,2024-06-22,75
817,127,2023-06-05,70
818,880,2022-05-27,55
819,482,2025-07-01,30
819,619,2018-10-09,90
819,195,2025-02-12,80
820,360,2022-08-26,60
821,520,2022-12-19,100
823,296,2022-12-13,10
823,443,2017-12-25,80
823,390,2021-04-01,5
824,846,2022-11-16,70
827,130,2024-10-07,75
827,588,2024-01-04,20
827,754,2021-10-04,20
828,269,2017-07-21,100
828,198,2023-08-10,15
829,509,2023-06-17,90
829,768,2025-07-14,90
829,755,2025-05-24,70
830,4,2025-01-12,35
830,7,2025-01-08,15
831,126,2025-01-13,90
832,995,2019-03-23,10
832,438,2021-11-17,45
833,312,2020-03-05,15
834,192,2023-11-13,85
836,610,2016-12-27,45
836,698,2018-06-14,20
836,799,2020-11-11,10
837,22,2025-04-24,85
837,104,2025-03-15,85
837,471,2025-03-19,70
839,124,2022-02-27,25
840,294,2023-06-09,85
841,508,2022-11-04,50
841,224,2024-08-04,40
841,762,2024-11-13,50
842,200,2022-07-29,35
843,937,2024-03-23,5
844,57,2024-11-17,15
845,210,2025-02-27,40
846,612,2025-04-05,35
846,257,2025-06-11,35
846,879,2024-11-24,45
848,596,2022-12-10,70
850,562,2017-10-21,75
852,353,2025-06-28,100
853,681,2023-10-31,75
856,578,2022-05-22,20
856,554,2021-03-30,75
857,104,2023-11-22,30
858,397,2022-01-13,55
859,443,2023-12-03,10
859,98,2022-07-19,100
859,422,2025-02-20,35
861,401,2020-04-14,35
863,67,2025-01-27,5
865,544,2025-05-26,95
866,95,2023-10-02,95
868,700,2024-11-17,60
869,608,2023-06-27,5
869,14,2020-04-07,25
871,346,2024-12-19,30
873,349,2025-04-29,45
874,38,2025-08-17,95
875,146,2025-06-01,55
875,242,2022-05-28,35
877,812,2024-06-29,30
878,262,2022-12-12,20
882,956,2022-03-27,70
882,271,2025-02-28,55
882,980,2015-10-14,85
884,662,2021-11-23,65
885,389,2022-01-14,35
885,775,2017-06-19,100
888,214,2024-10-20,35
888,370,2023-09-24,5
888,26,2022-07-10,40
889,556,2020-11-11,10
889,255,2023-04-02,10
890,828,2024-03-25,55
891,138,2024-06-07,85
891,342,2022-09-04,45
894,333,2025-07-18,15
895,379,2020-10-31,100
896,635,2023-05-18,15
897,518,2024-09-02,40
898,317,2025-08-20,50
898,261,2025-04-16,60
899,620,2025-02-17,5
899,26,2022-01-23,25
900,652,2021-03-25,95
901,582,2025-01-15,70
902,11,2025-08-09,50
905,285,2020-02-23,80
905,671,2022-04-29,5
905,766,2022-07-03,30
906,366,2023-07-22,60
906,452,2025-07-04,15
907,246,2018-06-13,5
907,801,2018-06-07,35
908,478,2025-07-18,30
909,589,2023-01-03,55
909,617,2023-05-13,85
911,150,2022-05-12,30
913,735,2025-05-15,15
915,122,2024-10-26,95
915,943,2024-12-26,40
916,368,2021-11-08,50
917,434,2022-08-25,95
917,800,2023-06-19,80
917,213,2024-12-06,60
918,414,2021-08-09,15
918,77,2019-01-09,100
922,946,2023-09-28,100
924,283,2025-08-16,80
924,843,2025-08-22,65
924,549,2025-08-24,20
927,924,2022-12-22,15
927,287,2022-10-01,40
928,412,2024-04-06,10
928,333,2020-03-16,25
930,417,2018-12-30,95
930,505,2019-12-13,60
931,449,2024-11-25,40
932,327,2025-07-12,100
933,93,2025-07-30,80
933,408,2023-09-16,35
933,128,2025-02-19,15
934,809,2024-04-05,55
937,425,2021-09-13,75
939,924,2022-07-12,65
940,879,2024-12-17,100
941,108,2019-05-08,30
941,158,2018-06-18,5
943,143,2025-02-05,15
945,90,2020-10-26,85
946,933,2020-10-22,80
946,88,2023-02-24,95
946,900,2021-12-12,55
947,507,2024-03-24,35
949,381,2020-11-15,10
949,41,2019-03-22,15
949,37,2022-01-04,50
950,972,2024-02-19,75
951,635,2025-07-29,85
952,132,2022-05-14,20
952,602,2022-05-20,5
953,802,2024-10-11,35
954,278,2023-09-29,25
957,933,2022-07-20,40
957,963,2024-08-25,95
958,232,2017-07-12,30
959,25,2019-04-18,75
960,337,2023-12-13,40
960,302,2022-08-20,25
960,43,2025-07-19,25
961,643,2022-02-09,20
963,175,2025-06-25,35
965,713,2022-12-19,25
967,657,2020-09-19,20
967,919,2025-07-02,100
968,595,2024-11-20,35
968,842,2024-12-22,70
972,205,2024-06-08,90
